,GSVA_score,AveExpr,t,P.Value,adj.P.Val,B
GOBP_BERGMANN_GLIAL_CELL_DIFFERENTIATION,0.531779611,-0.01946177,4.671654246,2.55E-05,0.00020228,2.437299684
REACTOME_RND1_GTPASE_CYCLE,0.348495354,-0.077725387,4.671452666,2.55E-05,0.00020228,2.436668242
MIR_12191_3P,0.371896847,-0.057079574,4.670684103,2.56E-05,0.000202568,2.434260836
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,0.237577596,-0.051203931,4.670592345,2.56E-05,0.000202568,2.433973429
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT,0.688368275,-0.111261324,4.669341247,2.57E-05,0.000203249,2.430054871
NR2F2_TARGET_GENES,0.447510457,-0.075720672,4.669148171,2.57E-05,0.000203249,2.429450171
GOMF_PEPTIDE_N_ACETYLTRANSFERASE_ACTIVITY,0.679503827,-0.095160202,4.668600011,2.57E-05,0.000203473,2.427733418
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.527628524,-0.072086905,4.667997211,2.58E-05,0.000203735,2.42584562
MIKKELSEN_MEF_HCP_WITH_H3K27ME3,-0.667582762,0.144364076,-4.665613379,2.60E-05,0.000205205,2.418380954
GOBP_POSITIVE_REGULATION_OF_ERAD_PATHWAY,0.510818795,-0.069939653,4.665196054,2.60E-05,0.000205271,2.417074289
GOMF_PHOSPHOTRANSFERASE_ACTIVITY_FOR_OTHER_SUBSTITUTED_PHOSPHATE_GROUPS,0.559605602,-0.063852198,4.665085289,2.60E-05,0.000205271,2.416727484
GOBP_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT,-0.512168386,0.146331195,-4.664776138,2.61E-05,0.000205276,2.41575955
MIR_6382,0.4152658,-0.05782882,4.664649357,2.61E-05,0.000205276,2.415362613
MIR_19A_5P,0.265332675,-0.014600132,4.664063677,2.61E-05,0.000205455,2.413528961
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0.752504668,-0.102905776,4.663956552,2.61E-05,0.000205455,2.413193579
MP_INCREASED_OSTEOSARCOMA_INCIDENCE,0.646720776,-0.112538971,4.663261466,2.62E-05,0.000205783,2.411017517
MIR_3572_5P,0.304612797,-0.032467485,4.662875235,2.62E-05,0.000205901,2.409808415
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,0.428031551,-0.065684426,4.662454069,2.63E-05,0.000206042,2.408489986
GOBP_REGULATION_OF_TELOMERE_CAPPING,0.626014518,-0.091760924,4.662086596,2.63E-05,0.000206147,2.407339674
GOCC_CORNIFIED_ENVELOPE,-0.513904537,0.010446924,-4.661245382,2.64E-05,0.000206482,2.40470651
GOCC_CYTOPLASMIC_MICROTUBULE,0.298833051,-0.061825705,4.661079171,2.64E-05,0.000206482,2.404186256
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,-0.383426342,0.028668516,-4.66095601,2.64E-05,0.000206482,2.403800756
MIR_7051_3P,0.274285962,-0.035749847,4.658402816,2.66E-05,0.000208089,2.39580993
HOXA11_TARGET_GENES,0.509931337,-0.078748358,4.658049444,2.67E-05,0.000208186,2.394704087
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,-0.628460741,0.136727666,-4.656397767,2.68E-05,0.000209156,2.389535707
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_DN,0.503214182,-0.079449642,4.656220769,2.68E-05,0.000209156,2.388981885
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_PRIMING,0.685551515,-0.130253524,4.655251811,2.69E-05,0.00020968,2.385950181
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING,0.554764478,-0.079561886,4.654634532,2.70E-05,0.000209756,2.384018936
GOMF_XENOBIOTIC_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.442390329,-0.088775297,4.654547397,2.70E-05,0.000209756,2.383746326
GOBP_PROTEIN_LOCALIZATION_TO_LYSOSOME,0.502946959,-0.060690077,4.654216258,2.70E-05,0.000209756,2.382710354
MIR_31_3P,0.407821616,-0.06516169,4.654035387,2.70E-05,0.000209756,2.382144506
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN,0.350088399,-0.032870599,4.653956035,2.70E-05,0.000209756,2.381896259
GOCC_PRC1_COMPLEX,0.678255787,-0.130413705,4.653809741,2.70E-05,0.000209756,2.381438592
TABULA_MURIS_SENIS_BLADDER_LEUKOCYTE_AGEING,0.52054645,-0.076060716,4.65365826,2.70E-05,0.000209756,2.380964703
GOBP_REGULATION_OF_TORC1_SIGNALING,0.580479221,-0.078047035,4.653339067,2.71E-05,0.000209831,2.379966169
GOMF_UDP_GLUCOSYLTRANSFERASE_ACTIVITY,0.547206838,-0.076410105,4.652439673,2.72E-05,0.00021031,2.377152709
MARKEY_RB1_ACUTE_LOF_UP,0.49007063,-0.065743121,4.651881385,2.72E-05,0.000210551,2.375406384
MIR_8113,0.349636339,-0.046212882,4.651285504,2.73E-05,0.00021082,2.373542547
MIR_7683_3P,0.296957041,-0.06461765,4.650508259,2.73E-05,0.000211154,2.371111547
HALLMARK_PROTEIN_SECRETION,0.631472269,-0.083487847,4.650386046,2.73E-05,0.000211154,2.370729314
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,0.49643512,-0.069157476,4.650090978,2.74E-05,0.000211213,2.369806472
GOBP_REGULATION_OF_TRANSLATION_AT_SYNAPSE,0.518807347,-0.095574395,4.649474084,2.74E-05,0.000211497,2.367877165
GOBP_PENTOSE_METABOLIC_PROCESS,0.516566958,-0.03734865,4.64910991,2.75E-05,0.000211605,2.366738268
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.463279193,-0.066590294,4.648302643,2.75E-05,0.000212024,2.364213781
GOMF_UBIQUITIN_LIKE_PROTEIN_PEPTIDASE_ACTIVITY,0.602661062,-0.083967966,4.647202189,2.76E-05,0.00021265,2.360772679
GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION,0.732804638,-0.108977643,4.645784905,2.78E-05,0.000213501,2.356341272
MIR_217_3P,0.28569086,-0.053924998,4.645228718,2.78E-05,0.000213746,2.354602377
GOCC_CLATHRIN_COATED_PIT,0.4598712,-0.048978677,4.644528686,2.79E-05,0.000214093,2.352413855
MIR_7215_5P,0.265993077,-0.029138746,4.644155667,2.79E-05,0.000214203,2.351247727
MIR_369_3P,0.351775168,-0.054737687,4.643954403,2.79E-05,0.000214203,2.350618549
GOBP_GOLGI_TO_VACUOLE_TRANSPORT,0.513757114,-0.073865697,4.643559614,2.80E-05,0.000214335,2.349384419
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN,-0.411772414,0.106177422,-4.643321089,2.80E-05,0.000214356,2.348638794
GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,0.514421937,-0.083922165,4.641122062,2.82E-05,0.000215772,2.341765304
GOCC_PERICENTRIC_HETEROCHROMATIN,0.605824987,-0.080639748,4.640710062,2.82E-05,0.000215842,2.340477642
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,0.455177016,-0.068732032,4.640606972,2.82E-05,0.000215842,2.34015545
GOMF_HISTONE_H3_METHYLTRANSFERASE_ACTIVITY,0.570120303,-0.083330898,4.640178066,2.83E-05,0.000215999,2.338815002
MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3,-0.697147356,0.123545996,-4.639590724,2.83E-05,0.00021627,2.33697947
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS,-0.369887237,0.05196209,-4.638331081,2.85E-05,0.000217024,2.333043167
chr12F2,-0.780085274,0.186001865,-4.637236983,2.86E-05,0.000217661,2.329624479
GOBP_TOR_SIGNALING,0.423929071,-0.059318115,4.636497506,2.86E-05,0.000217997,2.327314022
GOBP_TRNA_WOBBLE_BASE_MODIFICATION,0.746354936,-0.116514011,4.636354703,2.86E-05,0.000217997,2.326867857
GOBP_GASTRIC_ACID_SECRETION,-0.677357247,0.141611628,-4.636132743,2.87E-05,0.000218007,2.326174388
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,-0.627581117,0.14553646,-4.635835651,2.87E-05,0.00021806,2.325246201
GOBP_DNA_STRAND_ELONGATION,0.656100506,-0.108057657,4.635644956,2.87E-05,0.00021806,2.324650434
GOMF_EFFLUX_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.667808366,-0.068955439,4.635204808,2.88E-05,0.000218228,2.323275363
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,0.385596346,-0.047910107,4.634881653,2.88E-05,0.000218274,2.322265821
GOBP_ADIPOSE_TISSUE_DEVELOPMENT,0.417539151,-0.044516437,4.634725872,2.88E-05,0.000218274,2.321779167
MIR_6370,0.323984589,-0.04726848,4.633960914,2.89E-05,0.000218391,2.319389548
ZFP712_TARGET_GENES,0.390950539,-0.055464854,4.633960398,2.89E-05,0.000218391,2.319387936
GOMF_SH3_DOMAIN_BINDING,0.391000471,-0.074004257,4.633943801,2.89E-05,0.000218391,2.319336089
MIR_465A_5P,0.263819787,-0.027150975,4.632581775,2.90E-05,0.000219227,2.315081661
MIR_302A_5P,0.415451211,-0.057393114,4.631882155,2.91E-05,0.000219444,2.312896492
GOBP_PROTEIN_TETRAMERIZATION,0.257534411,-0.040283545,4.631870248,2.91E-05,0.000219444,2.312859306
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,-0.669248834,0.100184831,-4.630517817,2.92E-05,0.000220277,2.308635503
REACTOME_GLUCOSE_METABOLISM,0.587665678,-0.089137978,4.629602098,2.93E-05,0.000220795,2.305775846
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,0.615219437,-0.105464144,4.627459912,2.95E-05,0.000222213,2.299086887
GOBP_PIGMENT_GRANULE_MATURATION,0.593291601,-0.074290834,4.627063586,2.95E-05,0.000222353,2.297849479
MIR_3064_3P,0.313543286,-0.026278349,4.626698456,2.96E-05,0.000222471,2.296709505
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,0.432457949,-0.057577282,4.625541791,2.97E-05,0.000223171,2.293098482
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3,-0.610362905,0.128393721,-4.624729245,2.98E-05,0.00022362,2.290561964
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,0.639133915,-0.098004636,4.623887454,2.98E-05,0.000224047,2.287934314
GOMF_PROTEIN_SERINE_THREONINE_KINASE_BINDING,0.473617076,-0.058164975,4.62374091,2.99E-05,0.000224047,2.287476896
RAO_BOUND_BY_SALL4_ISOFORM_B,0.283997114,-0.034028346,4.622852782,3.00E-05,0.000224554,2.284704815
MIR_7A_2_3P,0.354958159,-0.052718475,4.620392088,3.02E-05,0.000226235,2.277025324
GOBP_INTERSTRAND_CROSS_LINK_REPAIR,0.571522264,-0.12681202,4.619842614,3.03E-05,0.000226492,2.275310687
MIR_7046_3P,0.310065613,-0.061492011,4.619504848,3.03E-05,0.000226592,2.274256718
GOBP_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,-0.513152117,0.08595711,-4.619136888,3.03E-05,0.000226714,2.273108565
MIR_7118_5P,0.259015351,-0.049552329,4.618445419,3.04E-05,0.00022708,2.27095105
GOMF_NUCLEOTIDYLTRANSFERASE_ACTIVITY,0.504609544,-0.077719849,4.616960388,3.05E-05,0.000228043,2.266317845
GOBP_DNA_DUPLEX_UNWINDING,0.618839458,-0.114804508,4.615697696,3.07E-05,0.000228764,2.262378735
GOCC_LIPID_DROPLET,0.30881382,-0.056726646,4.615596255,3.07E-05,0.000228764,2.262062298
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0.628883831,-0.093779173,4.615067736,3.07E-05,0.00022901,2.260413648
MBD1_TARGET_GENES,0.460694578,-0.064001749,4.614546155,3.08E-05,0.00022925,2.258786706
GOBP_PROTEIN_HETEROOLIGOMERIZATION,0.33571245,0.006229339,4.614037746,3.08E-05,0.000229481,2.257200912
GOBP_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.516188472,-0.081285723,4.613431612,3.09E-05,0.000229787,2.255310385
MIR_7661_5P,0.25953773,-0.041838743,4.613127406,3.09E-05,0.000229863,2.254361599
MIR_7048_3P,0.348831985,-0.050771869,4.612258596,3.10E-05,0.000230337,2.251651999
MIR_299B_5P,0.38019124,-0.075827611,4.612098064,3.10E-05,0.000230337,2.251151361
MIR_599,0.28466761,-0.050136238,4.611387077,3.11E-05,0.000230724,2.248934132
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,0.718655393,-0.144876787,4.610823827,3.12E-05,0.000230999,2.247177709
MIR_410_3P,0.338655751,-0.045799582,4.609592103,3.13E-05,0.000231785,2.243337003
GOMF_N_ACYLTRANSFERASE_ACTIVITY,0.492452736,-0.059307299,4.608533237,3.14E-05,0.000232442,2.24003558
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.525687753,-0.088502219,4.608222053,3.14E-05,0.000232525,2.239065396
MIR_12203_3P,0.417794781,-0.063050617,4.607931191,3.15E-05,0.000232593,2.238158592
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,0.283714831,-0.044722833,4.607400158,3.15E-05,0.000232846,2.236503068
MIR_3083_5P,0.342513473,-0.052614986,4.607139689,3.15E-05,0.000232891,2.235691068
GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION,-0.594191382,0.016724142,-4.605783369,3.17E-05,0.00023378,2.231463063
GOBP_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE,-0.676620342,0.157481157,-4.60516547,3.18E-05,0.000234101,2.229537053
GOMF_SINGLE_STRANDED_DNA_BINDING,0.518675712,-0.072831074,4.604710237,3.18E-05,0.00023415,2.228118138
MIR_3966,0.425644794,-0.074937727,4.604699237,3.18E-05,0.00023415,2.228083851
MIR_582_5P,0.342379013,-0.05429257,4.604075018,3.19E-05,0.000234358,2.226138308
GOBP_MICROTUBULE_POLYMERIZATION,0.386779699,-0.073872053,4.603934391,3.19E-05,0.000234358,2.225700019
MIR_344D_3P,0.332409975,-0.045527888,4.603698098,3.19E-05,0.000234358,2.224963582
GOCC_LYSOSOMAL_LUMEN,0.407093895,-0.045203437,4.603625465,3.19E-05,0.000234358,2.224737212
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.558123217,-0.081743277,4.602546443,3.20E-05,0.000235038,2.221374488
MIR_6940_5P,0.317645322,-0.060719909,4.602121357,3.21E-05,0.000235177,2.220049804
MIR_7652_3P,0.308471044,-0.05945378,4.601966238,3.21E-05,0.000235177,2.21956642
MIR_6397,0.318744359,-0.046368132,4.600857153,3.22E-05,0.000235815,2.216110451
MIR_467C_5P_MIR_467D_5P,0.36276775,-0.060538053,4.600679181,3.22E-05,0.000235815,2.215555908
MIR_743A_5P_MIR_871_5P,0.30516425,-0.054888733,4.600435069,3.23E-05,0.000235815,2.214795291
MIR_7220_3P,0.311773249,-0.044670469,4.600216465,3.23E-05,0.000235815,2.214114166
MIR_7067_5P,0.343503495,-0.058991741,4.600143881,3.23E-05,0.000235815,2.21388801
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,-0.450265197,0.163382647,-4.599348892,3.24E-05,0.000236154,2.211411098
DLX1_TARGET_GENES,0.47449542,-0.065094018,4.599309613,3.24E-05,0.000236154,2.211288723
MIR_7053_5P,0.261753536,-0.04919623,4.598551558,3.25E-05,0.000236589,2.208927033
GOBP_VESICLE_ORGANIZATION,0.406430322,-0.051845539,4.597715434,3.25E-05,0.000237087,2.206322283
CEBPG_TARGET_GENES,0.367673931,-0.056678501,4.597477989,3.26E-05,0.000237117,2.205582609
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN,-0.491857321,0.059651344,-4.596886725,3.26E-05,0.000237386,2.203740798
MIR_1231_3P,0.307806082,-0.055116224,4.596735986,3.26E-05,0.000237386,2.203271253
MIR_465B_5P,0.267468627,-0.028696765,4.596439996,3.27E-05,0.000237462,2.202349274
GOCC_CILIARY_TRANSITION_FIBER,0.725708101,-0.142766046,4.595523726,3.28E-05,0.000238024,2.19949532
REACTOME_REGULATION_OF_TP53_ACTIVITY,0.530533685,-0.078204379,4.595069416,3.28E-05,0.000238225,2.198080335
REACTOME_PHOSPHOLIPID_METABOLISM,0.318248368,-0.03554387,4.594808635,3.29E-05,0.000238233,2.19726813
MIR_346_3P,0.329975076,-0.068422223,4.594341803,3.29E-05,0.000238233,2.195814224
GOCC_TRANSCRIPTION_FACTOR_TFIIH_CORE_COMPLEX,0.6915254,-0.117911709,4.594298061,3.29E-05,0.000238233,2.195677994
GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,-0.673526699,0.172523741,-4.594265542,3.29E-05,0.000238233,2.195576722
GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS,0.443828973,-0.047483527,4.59324917,3.30E-05,0.000238877,2.192411519
GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION,-0.691718496,0.227493611,-4.592912536,3.31E-05,0.000238986,2.191363224
REACTOME_RAC1_GTPASE_CYCLE,0.4156245,-0.070207062,4.592562064,3.31E-05,0.000239107,2.190271863
GOMF_HISTONE_H4K12_ACETYLTRANSFERASE_ACTIVITY,0.725013899,-0.109660498,4.591494298,3.32E-05,0.000239794,2.186947055
MIR_7008_3P,0.30043546,-0.043523595,4.591291909,3.32E-05,0.000239797,2.186316886
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS,0.659553508,-0.096924909,4.589983896,3.34E-05,0.000240471,2.182244436
MIR_7680_5P,0.331330097,-0.045333173,4.589936766,3.34E-05,0.000240471,2.182097705
GOCC_COATED_VESICLE,0.516208003,-0.070816364,4.589769063,3.34E-05,0.000240471,2.181575601
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,0.448804795,-0.090198876,4.589652584,3.34E-05,0.000240471,2.181212974
MIR_6374,0.282190943,-0.033494705,4.588162956,3.36E-05,0.000241498,2.176575693
NFE2_TARGET_GENES,0.392326252,-0.065187933,4.586380016,3.38E-05,0.000242616,2.171026027
MIR_7094B_2_5P,0.271000917,-0.032923886,4.586368255,3.38E-05,0.000242616,2.170989421
GOCC_INTERCELLULAR_BRIDGE,0.391309528,-0.068007988,4.585712767,3.39E-05,0.000242984,2.168949313
GOBP_ARACHIDONIC_ACID_SECRETION,-0.454232909,0.085785533,-4.584921527,3.39E-05,0.000243402,2.166486832
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3,-0.63825584,0.147849375,-4.584637091,3.40E-05,0.000243402,2.165601656
GOBP_AUTOPHAGY_OF_MITOCHONDRION,0.567480715,-0.080062047,4.584590952,3.40E-05,0.000243402,2.165458069
GOMF_MAGNESIUM_ION_BINDING,0.358227557,-0.05900399,4.58440509,3.40E-05,0.000243402,2.164879673
MIR_12184_5P,0.36636468,-0.071999074,4.583591387,3.41E-05,0.000243899,2.162347546
GOMF_DNA_APURINIC_OR_APYRIMIDINIC_SITE_ENDONUCLEASE_ACTIVITY,0.601237293,-0.147862292,4.583309296,3.41E-05,0.000243968,2.161469756
chr6C1,-0.457325605,0.098240937,-4.582666981,3.42E-05,0.000244106,2.15947112
GOCC_CHYLOMICRON,-0.671418448,0.124961802,-4.582433134,3.42E-05,0.000244106,2.158743505
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,0.428542764,-0.074184371,4.582418685,3.42E-05,0.000244106,2.158698547
MIR_7086_5P,0.262322918,-0.037875591,4.582354083,3.42E-05,0.000244106,2.158497539
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,0.39155585,-0.037158663,4.582112631,3.43E-05,0.000244106,2.157746278
GOMF_PHOSPHOLIPID_BINDING,0.280112384,-0.045645804,4.581964226,3.43E-05,0.000244106,2.157284535
GOMF_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING,0.643954027,-0.09482091,4.581624497,3.43E-05,0.000244222,2.156227529
GOCC_INCLUSION_BODY,0.394367446,-0.047295249,4.579984349,3.45E-05,0.000245389,2.151124895
MIR_6541,0.35421992,-0.060165552,4.579782857,3.45E-05,0.000245394,2.150498083
MIR_3087_5P,0.278435981,-0.04681305,4.579338079,3.46E-05,0.000245596,2.149114476
GOBP_POST_TRANSCRIPTIONAL_GENE_SILENCING,0.480852684,-0.054386135,4.578793416,3.46E-05,0.000245857,2.147420217
MIR_6349,0.40460703,-0.058411005,4.578532942,3.47E-05,0.000245857,2.146609997
MIR_465C_5P,0.263599746,-0.027601475,4.578433034,3.47E-05,0.000245857,2.146299229
MIR_873A_3P,0.512347593,-0.085304965,4.575999861,3.50E-05,0.000247098,2.138731556
GOMF_DIOXYGENASE_ACTIVITY,0.382366593,-0.060461705,4.575947508,3.50E-05,0.000247098,2.138568745
GOMF_ATPASE_REGULATOR_ACTIVITY,0.584851992,-0.058897463,4.575840036,3.50E-05,0.000247098,2.138234519
REACTOME_CHROMATIN_MODIFYING_ENZYMES,0.631802312,-0.080431187,4.575835248,3.50E-05,0.000247098,2.138219629
GOBP_MANNOSYLATION,0.476463618,-0.06527558,4.575798966,3.50E-05,0.000247098,2.138106796
GOCC_SERINE_THREONINE_PROTEIN_KINASE_COMPLEX,0.459475123,-0.05772243,4.575740532,3.50E-05,0.000247098,2.137925073
ZFP296_TARGET_GENES,0.35096291,-0.051914323,4.573024087,3.53E-05,0.000249161,2.129478243
BIOCARTA_ERAD_PATHWAY,0.658418407,-0.092840739,4.571232458,3.55E-05,0.000250288,2.123908132
GOBP_SPINDLE_ASSEMBLY,0.530033424,-0.074507189,4.571168478,3.55E-05,0.000250288,2.123709233
GOMF_DYNEIN_COMPLEX_BINDING,0.516988641,-0.100424961,4.570960858,3.55E-05,0.000250288,2.123063803
GOCC_EARLY_PHAGOSOME,0.594911048,-0.126144722,4.570880497,3.56E-05,0.000250288,2.122813989
UBN2_TARGET_GENES,0.312703761,-0.053901429,4.568539123,3.58E-05,0.000251819,2.115536122
GOBP_SECRETORY_GRANULE_LOCALIZATION,0.375575412,-0.052151181,4.568438951,3.58E-05,0.000251819,2.115224779
WP_WNT_SIGNALING_PATHWAY_WP539,0.304328749,-0.053046094,4.568323534,3.59E-05,0.000251819,2.114866059
MIR_3073B_5P,0.364976242,-0.050693295,4.568257978,3.59E-05,0.000251819,2.11466231
GOCC_MITOTIC_SPINDLE_MICROTUBULE,0.715757164,-0.098765976,4.567670553,3.59E-05,0.000252129,2.112836625
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_PHOSPHATASE_ACTIVITY,0.713918167,-0.087895523,4.567329592,3.60E-05,0.000252129,2.111776975
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,0.599518345,-0.091042329,4.567306572,3.60E-05,0.000252129,2.111705434
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0.605419865,-0.089435521,4.566960349,3.60E-05,0.000252257,2.110629463
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,0.279554958,-0.056765837,4.565614935,3.62E-05,0.000253217,2.106448542
MILI_PSEUDOPODIA_CHEMOTAXIS_UP,0.554230456,-0.080642383,4.565071749,3.62E-05,0.00025351,2.104760698
HALLMARK_UV_RESPONSE_DN,0.36243157,-0.053727168,4.563713174,3.64E-05,0.000254486,2.100539511
GOCC_CHROMOSOME_CENTROMERIC_REGION,0.528117504,-0.069433531,4.563368652,3.64E-05,0.000254614,2.099469129
REACTOME_KERATINIZATION,-0.57068389,0.084391674,-4.562739037,3.65E-05,0.000254821,2.097513081
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,-0.57068389,0.084391674,-4.562739037,3.65E-05,0.000254821,2.097513081
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION,0.553251133,-0.074470168,4.562288733,3.66E-05,0.000255038,2.096114161
MIR_465D_5P,0.261796828,-0.026946907,4.55987286,3.69E-05,0.000256913,2.088609847
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,0.384451555,-0.076507629,4.559307091,3.69E-05,0.00025723,2.086852634
MIR_3061_3P,0.333978689,-0.06486653,4.559092755,3.70E-05,0.000257249,2.086186951
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND,0.658571454,-0.120613568,4.558074371,3.71E-05,0.00025786,2.083024218
BIOCARTA_RAC1_PATHWAY,0.464991278,-0.071739317,4.557990559,3.71E-05,0.00025786,2.082763941
MIR_7672_3P,0.619203209,-0.111897178,4.557490448,3.72E-05,0.000258123,2.08121088
GOBP_PEPTIDYL_PROLINE_HYDROXYLATION,0.689882993,-0.121958387,4.556820321,3.72E-05,0.00025853,2.079129943
WANG_TARGETS_OF_MLL_CBP_FUSION_DN,0.559855695,-0.076134647,4.556259573,3.73E-05,0.000258845,2.077388746
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,0.506191513,-0.070692182,4.555935961,3.73E-05,0.00025888,2.076383923
GOBP_RAP_PROTEIN_SIGNAL_TRANSDUCTION,0.643841337,-0.141690081,4.555838198,3.74E-05,0.00025888,2.076080372
BURTON_ADIPOGENESIS_9,0.372479191,-0.070430536,4.555073219,3.75E-05,0.00025937,2.073705217
MP_INCREASED_LEUKEMIA_INCIDENCE,0.552316451,-0.067884977,4.55476674,3.75E-05,0.00025947,2.07275368
MIR_7001_5P,0.322371192,-0.069208323,4.554013251,3.76E-05,0.000259797,2.070414397
REACTOME_DNA_STRAND_ELONGATION,0.720091058,-0.112092996,4.554003707,3.76E-05,0.000259797,2.07038477
GOBP_REGULATION_OF_CENTROSOME_CYCLE,0.517871217,-0.087651077,4.552168653,3.78E-05,0.000261207,2.064688249
RAMALHO_STEMNESS_UP,0.598028938,-0.084777155,4.55121185,3.79E-05,0.000261686,2.061718396
GOBP_NEURON_PROJECTION_ORGANIZATION,0.286708754,-0.062145367,4.551183404,3.79E-05,0.000261686,2.061630107
MIR_30A_3P_MIR_30E_3P,0.241049267,-0.030085472,4.551043569,3.80E-05,0.000261686,2.061196087
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,0.600806496,-0.082692989,4.550594793,3.80E-05,0.000261909,2.059803215
TSENG_IRS1_TARGETS_DN,0.262070941,-0.062450698,4.549838178,3.81E-05,0.000262399,2.057455009
ZFP810_TARGET_GENES,0.432150958,-0.056508451,4.549461016,3.82E-05,0.000262561,2.056284514
MIR_3544_3P,0.300198938,-0.058974763,4.549053247,3.82E-05,0.00026275,2.055019074
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING,0.548358033,-0.126283827,4.548695046,3.82E-05,0.000262896,2.053907492
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3,-0.533013839,0.149442397,-4.548287944,3.83E-05,0.000263085,2.0526442
